Pipeline,Original_ID,Paraphrase_ID,Cosine_Similarity
T5,1,1,0.9808517098426819
T5,1,2,0.9485735297203064
T5,1,3,0.9468929767608643
Pegasus,1,1,0.4994800090789795
Pegasus,1,2,0.5319311022758484
Pegasus,1,3,0.5251399874687195
BART,1,1,0.9989309906959534
BART,1,2,0.9992353320121765
BART,1,3,0.9970397353172302
